frame_number,l_foot_x,l_foot_y,r_foot_x,r_foot_y
000000000000,0.0,0.0,883.018,622.051
000000000000,999.304,702.462,1043.5,714.457
000000000000,1207.87,810.778,1300.14,814.677
000000000005,979.313,626.322,882.789,618.272
000000000005,999.264,706.422,1103.59,714.43
000000000005,1203.98,810.742,1324.02,814.577
000000000005,48.8286,529.836,48.7396,529.821
000000000010,1207.8,810.607,1316.09,810.703
000000000010,999.324,706.473,1139.64,718.623
000000000010,883.153,606.197,942.924,614.176
000000000010,52.6168,529.925,92.7162,530.062
000000000015,1215.82,790.656,1324.05,810.679
000000000015,1003.33,698.445,1139.74,718.648
000000000015,915.038,614.188,878.799,598.146
000000000015,92.7439,525.989,84.8005,525.976
000000000020,939.193,626.211,814.836,606.176
000000000020,1272.06,786.82,1324.16,810.678
000000000020,975.315,686.303,1139.62,718.669
000000000020,96.7209,526.071,96.8048,530.021
000000000025,923.071,618.223,814.657,614.24
000000000025,1272.09,782.706,1332.22,794.783
000000000025,979.129,694.385,1123.57,710.439
000000000025,112.711,530.067,112.678,530.113
000000000025,1111.52,590.076,1111.67,593.877
000000000030,1276.02,786.658,1392.41,798.757
000000000030,907.034,610.242,810.777,614.252
000000000030,983.223,690.504,1019.35,694.567
000000000030,1107.66,590.04,1123.66,586.073
000000000030,112.932,530.185,116.892,534.097
000000000035,846.926,598.231,814.796,606.253
000000000035,1284.04,782.798,1392.53,810.675
000000000035,886.986,682.313,1007.4,694.501
000000000035,140.867,537.979,120.929,538.065
000000000035,1107.71,586.133,1139.66,594.049
000000000040,169.009,533.993,112.979,534.019
000000000040,822.901,630.223,818.613,614.171
000000000040,1284.01,754.732,1392.5,794.72
000000000040,1103.6,586.193,1139.72,598.143
000000000040,822.772,694.435,995.23,690.47
000000000045,818.975,694.512,971.071,686.401
000000000045,1340.26,754.711,1428.35,746.639
000000000045,124.815,533.94,169.033,537.962
000000000045,1095.55,590.03,1143.65,594.31
000000000050,1360.22,814.562,1488.7,734.495
000000000050,822.743,690.512,939.145,690.548
000000000050,1075.61,594.051,1163.62,602.126
000000000050,160.93,533.945,136.811,530.155
000000000055,1364.45,810.827,1424.49,790.663
000000000055,164.997,545.991,136.725,534.015
000000000055,822.758,694.505,939.096,690.579
000000000055,1075.56,594.297,1071.62,594.339
000000000060,164.859,542.014,132.774,533.952
000000000060,1284.06,790.734,1344.24,822.731
000000000060,818.978,690.479,935.127,694.463
000000000060,1135.63,582.126,0.0,0.0
000000000065,164.923,542.076,136.767,534.109
000000000065,1131.72,786.642,1352.16,826.842
000000000065,822.766,690.592,939.003,694.543
000000000065,1155.72,558.023,1071.44,618.167
000000000070,1131.55,782.67,1328.11,818.672
000000000070,822.812,690.435,943.031,694.551
000000000070,140.949,530.065,156.873,534.029
000000000070,1039.24,594.285,1039.21,594.269
000000000070,0.0,0.0,806.775,606.253
000000000075,1139.69,794.708,1308.21,818.612
000000000075,818.93,690.327,939.122,694.563
000000000075,140.748,530.037,160.892,534.01
000000000075,1039.4,610.218,1039.16,614.168
000000000080,1143.64,790.634,1191.75,814.799
000000000080,818.95,686.324,915.181,694.546
000000000080,168.82,541.994,132.806,538.026
000000000080,1067.46,590.15,1039.35,594.334
000000000085,1135.63,786.573,1167.74,842.727
000000000085,822.817,686.321,910.992,690.305
000000000085,140.858,530.087,148.925,533.951
000000000085,1091.51,602.189,1011.4,606.238
000000000090,1079.51,794.812,1167.81,826.769
000000000090,818.961,690.246,890.986,698.39
000000000090,144.879,530.097,144.877,533.918
000000000090,0.0,0.0,1011.31,622.015
000000000095,1043.5,778.646,1167.62,806.753
000000000095,822.785,690.307,882.983,710.428
000000000095,164.931,537.958,136.921,537.989
000000000095,0.0,0.0,0.0,0.0
000000000100,991.332,878.954,1235.84,774.723
000000000100,164.893,534.089,136.941,538.001
000000000100,838.774,698.387,882.864,714.522
000000000100,0.0,0.0,0.0,0.0
000000000105,168.851,541.944,132.875,537.986
000000000105,987.238,878.931,1127.61,846.897
000000000105,846.82,714.503,883.053,714.396
000000000105,0.0,0.0,0.0,0.0
000000000105,0.0,0.0,0.0,0.0
000000000110,942.956,866.958,999.179,874.79
000000000110,168.87,542.019,136.713,538.069
000000000110,842.799,718.411,0.0,0.0
000000000110,798.704,594.171,786.681,598.18
000000000115,822.824,594.329,782.688,602.207
000000000115,754.815,826.797,983.34,882.841
000000000115,168.871,542.023,136.758,541.962
000000000120,818.802,594.318,782.659,602.253
000000000120,746.616,834.831,983.203,879.106
000000000120,168.839,541.954,132.912,538.001
000000000121,750.686,830.781,971.24,875.014
000000000121,168.828,541.997,132.89,538.044
000000000121,0.0,0.0,782.471,606.153
